index1,firebase_event_origin_x,firebase_event_origin_y,ga_session_id,engaged_session_event,session_engaged,ga_session_number,firebase_screen_id,firebase_screen_class,engagement_time_msec,entrances,freeride,firebase_previous_id,firebase_previous_class,item_subcategory,recommended,item_category,item_name,item_number,item_id,debug_event,previous_os_version,campaign_info_source,medium,source,system_app,system_app_update,update_with_analytics,firebase_conversion,previous_first_open_count,search_term,search_book,search_type,search_subcategory,search_category,previous_app_version,timestamp,timestamp_double
10055,app,app,1604801171,1,,46,-1891188402830096415,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,26,All,numerical,,,,,
10056,auto,auto,1604801171,1,,46,-1891188402830096407,HymnViewController,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057,auto,auto,1604801171,1,,46,-1891188402830096407,HymnViewController,31197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058,auto,auto,1604804688,1,,9,-7078925969337975352,CenterViewController,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059,auto,auto,1604804688,1,,9,-7078925969337975351,HymnListViewController,15725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060,auto,auto,1604804688,1,,9,-7078925969337975351,HymnListViewController,,,,,,,,,,,,,13.6.1,,,,,,,,,,,,,,,,
10061,auto,auto,1604804688,1,,9,-7078925969337975351,HymnListViewController,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,auto,auto,1604804688,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10063,auto,auto,1604804688,1,,9,-7078925969337975351,HymnListViewController,,,,-7078925969337975352,CenterViewController,,,,,,,,,,,,,,,,,,,,,,,,
10064,auto,auto,1604753718,1,,39,1243760397071120182,HymnListViewController,,,,1243760397071120181,CenterViewController,,,,,,,,,,,,,,,,,,,,,,,,
10065,auto,auto,1604753718,1,,39,1243760397071120182,HymnListViewController,5746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10066,auto,auto,1604753718,1,,39,1243760397071120183,HymnViewController,231370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067,app,app,1604753718,1,,39,1243760397071120182,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,start your ,All,alphabetical,,,,,
10068,auto,auto,1604753718,1,,39,1243760397071120181,CenterViewController,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069,auto,auto,1604753718,1,,39,1243760397071120183,HymnViewController,,,,1243760397071120182,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10070,auto,auto,1604753718,1,,39,1243760397071120183,HymnViewController,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10071,auto,auto,1604753718,1,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072,auto,auto,1604771245,1,,421,-6662830185238744394,HymnViewController,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10073,app,app,1604771245,1,,421,-6662830185238744395,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,367,All,numerical,,,,,
10074,app,app,1604771245,1,,421,-6662830185238744395,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,take time,All,alphabetical,,,,,
10075,auto,auto,1604771245,1,,421,-6662830185238744395,HymnListViewController,10027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10076,auto,auto,1604771245,1,,421,-6662830185238744393,HymnViewController,2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10077,auto,auto,1604771245,1,1,421,-6662830185238744394,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10078,auto,auto,1604771245,1,,421,-6662830185238744395,HymnListViewController,,1,,-6662830185238744394,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10079,auto,auto,1604771245,1,,421,-6662830185238744393,HymnViewController,,,,-6662830185238744395,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10080,auto,auto,1604771245,1,,421,-6662830185238744393,HymnViewController,276609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081,auto,auto,1604771245,1,,421,-6662830185238744393,HymnViewController,4238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082,auto,auto,1604771245,1,,421,-6662830185238744393,HymnViewController,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083,app,app,1604790571,1,,209,-4864640366981514468,HymnListViewController,,,,,,His Redemption,0,Praise of the Lord,How wonderful redemption is,116,-Kz10mBtpzqTPrY8Knk1,,,,,,,,,,,,,,,,,,
10084,app,app,1604790571,1,,209,-4864640366981514468,HymnListViewController,,,,,,His Redemption,0,Praise of the Lord,How sweet is the story of Christ's boundless love,112,-Kz10lWgpzqTPrY8Knk1,,,,,,,,,,,,,,,,,,
10085,app,app,1604790571,1,,209,-4864640366981514468,HymnListViewController,,,,,,His Newness,0,Worship of the Father,"Our Father, as the evergreen",16,-Kz10U-2pzqTPrY8Knk1,,,,,,,,,,,,,,,,,,
10086,app,app,1604793872,1,,155,7039032205126974159,HymnListViewController,,,,,,Loving Him,0,Experience of Christ,The church as the bride is a matter of love,2043,-LPqihxYHuc0Ms8fTM8X,,,,,,,,,,,,,,,,,,
10087,app,app,1604801782,1,,70,-2244589139733002073,HymnListViewController,,,,,,His Increase,0,Praise of the Lord,In the bosom of the Father,203,-Kz112hspzqTPrY8Knk1,,,,,,,,,,,,,,,,,,
10088,app,app,1604806265,1,,181,-7672451827200445376,HymnListViewController,,,,,,,0,Scriptures for Singing,I have fought the good fight,1703,-Kz1-n0YpzqTPrY8Knk1,,,,,,,,,,,,,,,,,,
